hub_id,lat,lon
526,32.6929215,-96.77535549999999
527,32.694363249999995,-96.7713315
528,32.697196500000004,-96.7632795
529,32.77830075,-96.68284625
530,32.786824499999994,-96.6848795
531,32.815273000000005,-96.6844065
532,32.82175,-96.68424250000001
533,32.8256345,-96.683905
534,32.8040835,-96.68246675
535,32.7893555,-96.6850475
536,32.76352,-96.6826165
537,32.71305125,-96.7012285
538,32.683786,-96.8119015
539,32.691272999999995,-96.87360050000001
540,32.63026516666667,-96.94944166666666
541,32.633740333333336,-96.95359333333333
542,32.646976,-96.947091
543,32.654107999999994,-96.886068
544,32.626106,-96.944069
545,32.921695428571425,-96.77050028571429
546,32.9142521,-96.7742152
547,32.910825,-96.775162
548,32.7133825,-96.8913835
549,32.7410105,-96.877189
550,32.744345333333335,-96.87098133333332
551,32.765541999999996,-96.84477050000001
552,32.747537666666666,-96.86308100000001
553,32.739885,-96.880938
554,32.7159705,-96.891402
555,32.839343,-96.776474
556,32.95071900000001,-96.774948
557,32.9500106,-96.7853064
558,32.626742,-96.947305
559,32.636391,-96.951806
560,32.63808,-96.949921
561,32.642743249999995,-96.94783325
562,32.64912983333333,-96.88714933333334
563,32.6621885,-96.87138
564,32.64707666666667,-96.94344133333334
565,32.643151,-96.9429805
566,32.6325395,-96.94322249999999
567,32.712675000000004,-96.7088055
568,32.7126945,-96.71392800000001
569,32.7363895,-96.92407399999999
570,32.7474305,-96.91619349999999
571,32.747834,-96.9085723
572,32.749747444444445,-96.89153444444445
573,32.7379505,-96.888785
574,32.7390705,-96.8841865
575,32.745523000000006,-96.84804199999999
576,32.747946999999996,-96.921223
577,32.737026,-96.92799875
578,32.930289875,-96.763631125
579,32.8508975,-96.768802
580,32.792623,-96.798386
581,32.67931166666667,-96.85625699999999
582,32.719023750000005,-96.68386825
583,32.8765485,-96.7348425
584,32.868329,-96.73809750000001
585,32.864236,-96.74582325
586,32.8615455,-96.7516715
587,32.881247,-96.7347665
588,32.9254015,-96.7242685
589,32.9228045,-96.718306875
590,32.9098274,-96.7181698
591,32.905410833333335,-96.71763316666666
592,32.9125415,-96.7180175
593,32.922990999999996,-96.73776109090909
594,32.899474,-96.72078975
595,32.8573715,-96.75610800000001
596,32.8583425,-96.75843549999999
597,32.894191,-96.7272645
598,32.890383,-96.729619
599,32.95338614285714,-96.81797557142856
600,32.9492855,-96.81751750000001
601,32.94689654545454,-96.82364345454545
602,32.93257858333333,-96.82105758333334
603,32.917585,-96.818394
604,32.9145655,-96.818421
605,32.910951749999995,-96.8182805
606,32.9207225,-96.81849349999999
607,32.961298166666666,-96.81869183333333
608,32.987274,-96.803143
609,32.976141,-96.80435750000001
610,32.9044965,-96.804074
611,32.902229000000005,-96.8039705
612,32.9597125,-96.8045125
613,32.982748,-96.804369
614,32.918056,-96.8817155
615,32.9145648,-96.881713
616,32.953635000000006,-96.886099
617,32.95380966666667,-96.89004777777778
618,32.948836,-96.8902895
