Hub Name,From Route,To Route,Bad Connections (1-5 min)
PEARL @ ROSS - S - NS,147,003,1931
PEARL @ ROSS - S - NS,145,ORANGE,1928
PEARL @ ROSS - S - NS,GREEN,224,1925
PEARL @ ROSS - S - NS,145,013,1919
PEARL @ ROSS - S - NS,ORANGE,102,1914
PEARL @ ROSS - S - NS,128,237,1913
PEARL @ ROSS - S - NS,147,013,1910
PEARL @ ROSS - S - NS,147,018,1905
PEARL @ ROSS - S - NS,145,018,1902
PEARL @ ROSS - S - NS,128,102,1889
PEARL @ ROSS - S - NS,106,147,1886
PEARL @ ROSS - S - NS,145,BLUE,1883
PEARL @ ROSS - S - NS,013,230,1881
PEARL @ ROSS - S - NS,109,ORANGE,1877
PEARL @ ROSS - S - NS,RED,620,1872
PEARL @ ROSS - S - NS,RED,249,1869
PEARL @ ROSS - S - NS,BLUE,620,1869
PEARL @ ROSS - S - NS,145,GREEN,1868
PEARL @ ROSS - S - NS,013,425,1864
PEARL @ ROSS - S - NS,128,207,1861
PEARL @ ROSS - S - NS,ORANGE,003,1855
SKILLMAN @ EASTRIDGE - S - NS,027,020,1854
PEARL @ ROSS - S - NS,GREEN,009,1848
PEARL @ ROSS - S - NS,147,128,1848
PEARL @ ROSS - S - NS,GREEN,106,1847
HAMPTON @ SINGLETON - N - MB,128,101,1842
PEARL @ ROSS - S - NS,147,GREEN,1838
PEARL @ ROSS - S - NS,109,RED,1837
PEARL @ ROSS - S - NS,ORANGE,620,1836
PEARL @ ROSS - S - NS,ORANGE,145,1836
PEARL @ ROSS - S - NS,GREEN,ORANGE,1836
PEARL @ ROSS - S - NS,109,147,1827
PEARL @ ROSS - S - NS,109,016,1827
PEARL @ ROSS - S - NS,128,106,1827
PEARL @ ROSS - S - NS,145,016,1824
PEARL @ ROSS - S - NS,145,001,1824
PEARL @ ROSS - S - NS,109,102,1823
PEARL @ ROSS - S - NS,109,013,1817
PEARL @ ROSS - S - NS,102,ORANGE,1816
PEARL @ ROSS - S - NS,145,009,1814
PEARL @ ROSS - S - NS,BLUE,249,1813
PEARL @ ROSS - S - NS,109,128,1804
PEARL @ ROSS - S - NS,147,009,1800
PEARL @ ROSS - S - NS,109,BLUE,1800
PEARL @ ROSS - S - NS,ORANGE,230,1798
PEARL @ ROSS - S - NS,102,RED,1797
PEARL @ ROSS - S - NS,GREEN,237,1794
PEARL @ ROSS - S - NS,109,001,1793
PEARL @ ROSS - S - NS,145,214,1791
PEARL @ ROSS - S - NS,109,003,1787
PEARL @ ROSS - S - NS,102,003,1785
PEARL @ ROSS - S - NS,128,230,1779
PEARL @ ROSS - S - NS,102,001,1775
PEARL @ ROSS - S - NS,145,102,1775
PEARL @ ROSS - S - NS,102,013,1768
PEARL @ ROSS - S - NS,128,425,1766
PEARL @ ROSS - S - NS,109,018,1762
PEARL @ ROSS - S - NS,109,GREEN,1762
PEARL @ ROSS - S - NS,147,016,1762
PEARL @ ROSS - S - NS,145,109,1757
PEARL @ ROSS - S - NS,ORANGE,205,1754
PEARL @ ROSS - S - NS,ORANGE,009,1753
PEARL @ ROSS - S - NS,102,109,1749
PEARL @ ROSS - S - NS,013,207,1741
PEARL @ ROSS - S - NS,128,001,1740
PEARL @ ROSS - S - NS,102,BLUE,1739
PEARL @ ROSS - S - NS,145,128,1734
PEARL @ ROSS - S - NS,109,009,1731
PEARL @ ROSS - S - NS,009,249,1730
PEARL @ ROSS - S - NS,106,425,1729
PEARL @ ROSS - S - NS,GREEN,214,1726
PEARL @ ROSS - S - NS,GREEN,425,1724
PEARL @ ROSS - S - NS,GREEN,249,1722
PEARL @ ROSS - S - NS,106,207,1717
PEARL @ ROSS - S - NS,147,237,1716
PEARL @ ROSS - S - NS,013,249,1710
PEARL @ ROSS - S - NS,102,147,1709
PEARL @ ROSS - S - NS,147,214,1708
PEARL @ ROSS - S - NS,102,GREEN,1707
PEARL @ ROSS - S - NS,106,109,1704
PEARL @ ROSS - S - NS,147,145,1701
PEARL @ ROSS - S - NS,106,001,1698
PEARL @ ROSS - S - NS,ORANGE,425,1697
PEARL @ ROSS - S - NS,109,214,1697
PEARL @ ROSS - S - NS,ORANGE,237,1696
PEARL @ ROSS - S - NS,147,109,1692
PEARL @ ROSS - S - NS,147,001,1678
PEARL @ ROSS - S - NS,009,207,1662
PEARL @ ROSS - S - NS,102,018,1658
PEARL @ ROSS - S - NS,102,128,1652
PEARL @ ROSS - S - NS,106,103,1652
PEARL @ ROSS - S - NS,ORANGE,GREEN,1645
PEARL @ ROSS - S - NS,003,239,1642
PEARL @ ROSS - S - NS,003,TRE,1639
PEARL @ ROSS - S - NS,BLUE,308,1638
PEARL @ ROSS - S - NS,ORANGE,249,1632
PEARL @ ROSS - S - NS,102,016,1626
